Original Extrapolated Smoother  Refactored Extrapolated Smoother
1.1192190668e+00  1.1194518148e+00
1.2057012482e+00  1.2066320229e+00
1.0765372169e+00  1.0772158402e+00
1.0202822587e+00  1.0235454225e+00
9.7367344920e-01  9.7622029829e-01
1.0504759154e+00  1.0578225676e+00
1.1337242562e+00  1.1369518222e+00
1.2001630358e+00  1.2044137067e+00
9.5423240709e-01  9.5423240709e-01
6.2777512347e-01  6.2421720376e-01
7.8468974168e-01  7.8253416968e-01
8.9952988530e-01  8.9478665695e-01
1.0328167121e+00  1.0315908804e+00
9.5790170263e-01  9.5647597592e-01
8.9695657609e-01  8.9674010023e-01
7.5073886392e-01  7.5045087097e-01
8.5950722436e-01  8.5945075577e-01
8.4127884885e-01  8.4099288999e-01
9.9184434848e-01  9.9167651328e-01
1.1378135796e+00  1.1366871063e+00
1.0819976484e+00  1.0812152977e+00
8.0781021891e-01  8.0487731415e-01
6.7244090937e-01  6.7134227447e-01
5.7117185446e-01  5.6939089605e-01
9.9489734575e-01  9.9489734575e-01
1.4068112090e+00  1.4085921674e+00
1.3207875001e+00  1.3218861350e+00
1.1793832343e+00  1.1823161391e+00
9.1586485933e-01  9.1664721006e-01
8.5787561731e-01  8.5900209062e-01
1.0077579001e+00  1.0079257353e+00
1.1575801776e+00  1.1578661365e+00
1.1403301177e+00  1.1403865863e+00
1.2472560779e+00  1.2475440709e+00
1.1022299290e+00  1.1024464049e+00
1.0287429911e+00  1.0301687178e+00
9.5954128039e-01  9.6076711204e-01
1.0454389609e+00  1.0501821892e+00
1.1729718628e+00  1.1751274348e+00
1.2574736308e+00  1.2610315505e+00
9.3765900964e-01  9.3765900964e-01
5.6044189995e-01  5.5733680631e-01
7.4632608211e-01  7.4474248309e-01
9.1656993623e-01  9.1327220167e-01
1.0615602262e+00  1.0608970896e+00
9.7663954599e-01  9.7594490131e-01
9.0509995063e-01  9.0502100870e-01
7.9120248353e-01  7.9110182208e-01
8.8830548599e-01  8.8828966045e-01
8.9522510954e-01  8.9512519175e-01
1.0292813674e+00  1.0292248162e+00
1.2410261274e+00  1.2405161014e+00
1.1648612469e+00  1.1644976154e+00
8.9373221286e-01  8.9201101007e-01
6.8455300572e-01  6.8391553882e-01
5.7196311170e-01  5.7073991705e-01
9.9097967495e-01  9.9097967495e-01
1.3921706153e+00  1.3933938100e+00
1.3025345530e+00  1.3031720199e+00
1.0831240911e+00  1.0848452939e+00
8.3007848667e-01  8.3044211814e-01
7.4918017317e-01  7.4969019921e-01
9.6942261608e-01  9.6947916729e-01
1.1012290499e+00  1.1013289677e+00
1.1110593040e+00  1.1110751295e+00
1.2031560231e+00  1.2032566845e+00
1.0924927342e+00  1.0925716761e+00
9.9809346307e-01  9.9878810775e-01
9.2319189236e-01  9.2385502894e-01
1.0045034915e+00  1.0078012260e+00
1.1896386984e+00  1.1912222974e+00
1.2903978243e+00  1.2935029179e+00
9.1800642525e-01  9.1800642525e-01
5.2122072326e-01  5.1840037979e-01
7.2710886611e-01  7.2583653908e-01
9.5662145399e-01  9.5413245931e-01
1.1024213767e+00  1.1020115550e+00
1.0228340362e+00  1.0224487269e+00
9.5044978753e-01  9.5041623634e-01
9.0831604600e-01  9.0827516684e-01
9.6140551273e-01  9.6140031245e-01
9.7188515871e-01  9.7184487285e-01
1.0537290826e+00  1.0537069925e+00
1.3002655437e+00  1.3000025954e+00
1.2283630935e+00  1.2281708693e+00
9.9885636664e-01  9.9774332029e-01
7.5564006017e-01  7.5522796944e-01
6.4966839610e-01  6.4876340815e-01
9.8442312471e-01  9.8442312471e-01
1.2937236708e+00  1.2946286587e+00
1.2204517555e+00  1.2208638463e+00
9.6089735124e-01  9.6201039759e-01
7.6020787806e-01  7.6040010225e-01
6.7872307588e-01  6.7898602418e-01
9.4234177772e-01  9.4236386787e-01
1.0180443032e+00  1.0180845891e+00
1.0363220805e+00  1.0363272808e+00
1.0771323229e+00  1.0771732021e+00
1.0429374427e+00  1.0429709939e+00
9.3199611841e-01  9.3238142767e-01
8.6866210801e-01  8.6907192964e-01
9.3405878606e-01  9.3654778074e-01
1.1795535169e+00  1.1808258439e+00
1.2910216711e+00  1.2938420146e+00
8.9242254811e-01  8.9242254811e-01
5.1253501006e-01  5.0990301242e-01
7.2394115035e-01  7.2284578903e-01
1.0022397622e+00  1.0002232126e+00
1.1417220665e+00  1.1414314306e+00
1.0772977127e+00  1.0770551061e+00
1.0191515934e+00  1.0191343409e+00
1.0572070917e+00  1.0571870544e+00
1.0496287617e+00  1.0496266572e+00
1.0159323043e+00  1.0159126905e+00
1.0292572752e+00  1.0292468271e+00
1.2585804155e+00  1.2584223085e+00
1.2223700865e+00  1.2222515694e+00
1.0597173416e+00  1.0589142759e+00
8.6032469091e-01  8.6002549990e-01
7.8714241771e-01  7.8641699329e-01
9.7251845732e-01  9.7251845732e-01
1.1227407679e+00  1.1234661923e+00
1.0945836368e+00  1.0948828278e+00
8.6989511984e-01  8.7069818555e-01
7.5158394445e-01  7.5170246156e-01
6.9662811847e-01  6.9678622554e-01
9.5890574218e-01  9.5891619025e-01
9.5639876183e-01  9.5641837558e-01
9.4237987198e-01  9.4238197647e-01
9.0635264381e-01  9.0637268113e-01
9.6286211809e-01  9.6287937055e-01
8.4246497593e-01  8.4270758260e-01
8.0340778809e-01  8.0369842406e-01
8.4554754226e-01  8.4756409178e-01
1.1398001326e+00  1.1408954939e+00
1.2510692788e+00  1.2537012764e+00
8.5065457427e-01  8.5065457427e-01
5.2325238985e-01  5.2079387546e-01
7.2033871740e-01  7.1936724834e-01
1.0183389212e+00  1.0166470795e+00
1.1424948701e+00  1.1422675680e+00
1.0846636504e+00  1.0844991129e+00
1.0542939802e+00  1.0542833397e+00
1.1344747988e+00  1.1344631593e+00
1.0869784452e+00  1.0869773772e+00
9.7639000935e-01  9.7637846607e-01
9.4602808128e-01  9.4602207390e-01
1.1085936924e+00  1.1084855220e+00
1.1237649116e+00  1.1236814407e+00
1.0202652011e+00  1.0196363249e+00
9.3027330148e-01  9.3003671776e-01
9.1048059963e-01  9.0986725268e-01
9.4628232169e-01  9.4628232169e-01
9.3340196486e-01  9.3401531182e-01
9.7558780920e-01  9.7582439293e-01
8.4584507605e-01  8.4647395233e-01
8.1089353220e-01  8.1097700305e-01
7.8880131817e-01  7.8890948859e-01
1.0152099042e+00  1.0152159116e+00
9.4438317060e-01  9.4439471388e-01
8.8277574348e-01  8.8277681139e-01
7.6996323549e-01  7.6997487498e-01
8.9271656670e-01  8.9272720720e-01
7.6197041617e-01  7.6213495359e-01
7.4428072012e-01  7.4450802224e-01
7.5241080876e-01  7.5410265054e-01
1.0661179100e+00  1.0670893791e+00
1.1607466098e+00  1.1632051242e+00
7.6462183686e-01  7.6462183686e-01
5.1515007643e-01  5.1297192579e-01
6.7612928465e-01  6.7530002312e-01
9.5392968740e-01  9.5255770469e-01
1.0594502349e+00  1.0592722068e+00
9.9257126179e-01  9.9246252857e-01
1.0006837772e+00  1.0006768233e+00
1.0651979300e+00  1.0651908669e+00
1.0330238027e+00  1.0330232097e+00
8.5519321649e-01  8.5518597861e-01
8.3600337231e-01  8.3599967451e-01
9.0166471947e-01  9.0158882864e-01
9.5996791813e-01  9.5990756146e-01
8.7659577411e-01  8.7610505723e-01
9.0698492374e-01  9.0679837184e-01
9.3314729742e-01  9.3263916172e-01
8.7689888442e-01  8.7689888442e-01
7.5140642631e-01  7.5191456201e-01
8.6441918681e-01  8.6460573871e-01
8.3046021946e-01  8.3095093634e-01
8.5406329224e-01  8.5412364891e-01
8.3833468227e-01  8.3841057309e-01
1.0254321396e+00  1.0254358374e+00
9.0823319296e-01  9.0824043083e-01
8.4485526605e-01  8.4485585906e-01
6.7086412243e-01  6.7087118553e-01
8.2827590105e-01  8.2828285498e-01
6.7788217491e-01  6.7799090813e-01
6.7494825812e-01  6.7512628622e-01
6.4428876168e-01  6.4566074440e-01
9.3984035623e-01  9.4066961777e-01
1.0000625427e+00  1.0022406933e+00
5.7383323076e-01  5.7383323076e-01
4.2589406614e-01  4.2429535099e-01
5.2536064222e-01  5.2476741814e-01
7.1985560949e-01  7.1891834400e-01
8.0384186774e-01  8.0372054142e-01
7.2612188109e-01  7.2606261977e-01
7.6439840630e-01  7.6439418276e-01
7.7071895053e-01  7.7071509390e-01
8.0267719440e-01  8.0267687336e-01
6.1397985107e-01  6.1397559097e-01
6.5177301130e-01  6.5177085682e-01
6.2265076782e-01  6.2260316067e-01
6.9349639950e-01  6.9345717378e-01
6.0770007775e-01  6.0736655441e-01
7.1636218939e-01  7.1623403292e-01
7.4664025972e-01  7.4627933379e-01
6.8388343675e-01  6.8388343675e-01
5.3065690247e-01  5.3101782841e-01
6.6961926326e-01  6.6974741974e-01
6.8583295801e-01  6.8616648135e-01
7.3954746363e-01  7.3958668934e-01
6.9086091170e-01  6.9090851885e-01
8.3725495063e-01  8.3725710511e-01
7.0107964765e-01  7.0108390775e-01
6.9822697732e-01  6.9822729836e-01
5.1191623739e-01  5.1192009403e-01
6.6306038243e-01  6.6306460597e-01
5.1270743748e-01  5.1276669879e-01
5.1878300452e-01  5.1890433085e-01
4.7029816610e-01  4.7123543158e-01
6.9164199694e-01  6.9223522103e-01
7.0112401655e-01  7.0272273170e-01
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
-0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
0.0000000000e+00  0.0000000000e+00
