Original Extrapolated Smoother  Refactored Extrapolated Smoother
1.0298362770e+00  1.0298362770e+00,
1.0322289539e+00  1.0322289539e+00,
1.0340656830e+00  1.0340656830e+00,
1.0353233362e+00  1.0353233362e+00,
1.0358648962e+00  1.0358648962e+00,
1.0357215493e+00  1.0357215493e+00,
1.0348425641e+00  1.0348425641e+00,
1.0333464575e+00  1.0333464575e+00,
1.0312408584e+00  1.0312408584e+00,
1.0287365506e+00  1.0287365506e+00,
1.0258404913e+00  1.0258404913e+00,
1.0228449171e+00  1.0228449171e+00,
1.0196761761e+00  1.0196761761e+00,
1.0166989671e+00  1.0166989671e+00,
1.0136814952e+00  1.0136814952e+00,
1.0110591358e+00  1.0110591358e+00,
1.0084115744e+00  1.0084115744e+00,
1.0062137351e+00  1.0062137351e+00,
1.0039507857e+00  1.0039507857e+00,
1.0019966740e+00  1.0019966740e+00,
1.0000000000e+00  1.0000000000e+00,
9.9800332597e-01  9.9800332597e-01,
9.9604921434e-01  9.9604921434e-01,
9.9378626489e-01  9.9378626489e-01,
9.9158842562e-01  9.9158842562e-01,
9.8894086415e-01  9.8894086415e-01,
9.8631850477e-01  9.8631850477e-01,
9.8330103286e-01  9.8330103286e-01,
9.8032382394e-01  9.8032382394e-01,
9.7715508293e-01  9.7715508293e-01,
9.7415950871e-01  9.7415950871e-01,
9.7126344936e-01  9.7126344936e-01,
9.6875914161e-01  9.6875914161e-01,
9.6665354246e-01  9.6665354246e-01,
9.6515743589e-01  9.6515743589e-01,
9.6427845072e-01  9.6427845072e-01,
9.6413510384e-01  9.6413510384e-01,
9.6467666376e-01  9.6467666376e-01,
9.6593431696e-01  9.6593431696e-01,
9.6777104607e-01  9.6777104607e-01,
9.7016372300e-01  9.7016372300e-01,
9.7288952567e-01  9.7288952567e-01,
9.7593292644e-01  9.7593292644e-01,
9.7899936434e-01  9.7899936434e-01,
9.8216163950e-01  9.8216163950e-01,
9.8506053489e-01  9.8506053489e-01,
9.8793720391e-01  9.8793720391e-01,
9.9035839476e-01  9.9035839476e-01,
9.9277381605e-01  9.9277381605e-01,
9.9468767934e-01  9.9468767934e-01,
9.9667176120e-01  9.9667176120e-01,
9.9830888387e-01  9.9830888387e-01,
1.0000000000e+00  1.0000000000e+00,
1.0005562449e+00  1.0005562449e+00,
1.0000000000e+00  1.0000000000e+00,
1.0014928838e+00  1.0014928838e+00,
1.0000000000e+00  1.0000000000e+00,
1.0020711263e+00  1.0020711263e+00,
1.0000000000e+00  1.0000000000e+00,
1.0023506147e+00  1.0023506147e+00,
1.0000000000e+00  1.0000000000e+00,
1.0024604001e+00  1.0024604001e+00,
1.0000000000e+00  1.0000000000e+00,
1.0024965364e+00  1.0024965364e+00,
1.0000000000e+00  1.0000000000e+00,
1.0025129464e+00  1.0025129464e+00,
1.0000000000e+00  1.0000000000e+00,
1.0025359381e+00  1.0025359381e+00,
1.0000000000e+00  1.0000000000e+00,
1.0025749105e+00  1.0025749105e+00,
1.0000000000e+00  1.0000000000e+00,
1.0026263762e+00  1.0026263762e+00,
1.0000000000e+00  1.0000000000e+00,
1.0026727932e+00  1.0026727932e+00,
1.0000000000e+00  1.0000000000e+00,
